setting,condition,measure,diff,ci_low,ci_high,p,d,n
GPT-5.2 → Gemini 2.0,Nat,professionalism,0.0,0.0,0.0,1.0,0.0,30
GPT-5.2 → Gemini 2.0,Nat,perceived_confidence,0.011111111111111101,-0.010666666666666652,0.032888888888888856,1.0,0.18257418583505539,30
GPT-5.2 → Gemini 2.0,Nat,perceived_competence,0.08888888888888884,0.019312734863065353,0.1584650429147123,0.03515625,0.45717503104282603,30
GPT-5.2 → Gemini 2.0,Deb,professionalism,0.0,0.0,0.0,1.0,0.0,30
GPT-5.2 → Gemini 2.0,Deb,perceived_confidence,0.022222222222222202,-0.02133333333333332,0.06577777777777773,0.625,0.18257418583505536,30
GPT-5.2 → Gemini 2.0,Deb,perceived_competence,0.055555555555555504,0.0005507761664815675,0.11056033494462944,0.125,0.3614285968633785,30
GPT-5.2 → Gemini 2.0,Blind,professionalism,0.0,0.0,0.0,1.0,0.0,30
GPT-5.2 → Gemini 2.0,Blind,perceived_confidence,0.011111111111111101,-0.010666666666666652,0.032888888888888856,1.0,0.18257418583505539,30
GPT-5.2 → Gemini 2.0,Blind,perceived_competence,0.022222222222222202,-0.008040540760180351,0.05248498520462476,0.5,0.2627691364061218,30
Gemini 2.0 → GPT-5.2,Nat,professionalism,0.022222222222222202,-0.03142792238314761,0.07587236682759202,0.6875,0.1482217830472194,30
Gemini 2.0 → GPT-5.2,Nat,perceived_confidence,-0.011111111111111117,-0.032888888888888905,0.010666666666666672,1.0,-0.18257418583505536,30
Gemini 2.0 → GPT-5.2,Nat,perceived_competence,0.011111111111111117,-0.03825258807955219,0.06047481030177443,1.0,0.08054623361424616,30
Gemini 2.0 → GPT-5.2,Deb,professionalism,0.10000000000000003,-0.02588571516358701,0.22588571516358708,0.1446791450680671,0.28426212121978467,30
Gemini 2.0 → GPT-5.2,Deb,perceived_confidence,-0.011111111111111117,-0.032888888888888905,0.010666666666666672,1.0,-0.18257418583505536,30
Gemini 2.0 → GPT-5.2,Deb,perceived_competence,0.10000000000000002,0.005245305618773219,0.19475469438122683,0.04002071404779074,0.3776545389898977,30
Gemini 2.0 → GPT-5.2,Blind,professionalism,0.044444444444444405,-0.016081081520360703,0.10496997040924952,0.2890625,0.2627691364061218,30
Gemini 2.0 → GPT-5.2,Blind,perceived_confidence,0.0,0.0,0.0,1.0,0.0,30
Gemini 2.0 → GPT-5.2,Blind,perceived_competence,0.022222222222222233,-0.021333333333333343,0.06577777777777781,0.625,0.18257418583505536,30
