setting,condition,measure,diff,ci_low,ci_high,p,d,n
GPT-5.2 → Gemini 2.0,Nat,professionalism,0.13333333333333328,0.05920500581965972,0.20746166084700685,0.001953125,0.6436503043467892,30
GPT-5.2 → Gemini 2.0,Nat,perceived_reasonableness,0.377777777777778,0.24586545218516156,0.5096901033703944,4.372512022912e-05,1.0248173625414516,30
GPT-5.2 → Gemini 2.0,Nat,seems_entitled,-0.3777777777777779,-0.5020289687193717,-0.25352658683618395,3.750209563114039e-05,-1.0880060028082994,30
GPT-5.2 → Gemini 2.0,Deb,professionalism,0.0,0.0,0.0,1.0,0.0,30
GPT-5.2 → Gemini 2.0,Deb,perceived_reasonableness,0.3444444444444445,0.19925300141200375,0.48963588747688525,0.0005071282919803243,0.848933372965862,30
GPT-5.2 → Gemini 2.0,Deb,seems_entitled,-0.3555555555555555,-0.4954112495954668,-0.21569986151564427,0.00021129175160066973,-0.9097514575994019,30
GPT-5.2 → Gemini 2.0,Blind,professionalism,0.08888888888888881,0.03523874428351899,0.14253903349425862,0.0078125,0.5928871321888775,30
GPT-5.2 → Gemini 2.0,Blind,perceived_reasonableness,0.4222222222222224,0.2823665281823111,0.5620779162621337,0.00010817453548630237,1.08032985589929,30
GPT-5.2 → Gemini 2.0,Blind,seems_entitled,-0.4333333333333334,-0.5630579064822622,-0.30360876018440464,3.5188780336467246e-05,-1.1953505652154657,30
Gemini 2.0 → GPT-5.2,Nat,professionalism,0.011111111111111101,-0.010666666666666656,0.032888888888888856,1.0,0.18257418583505539,30
Gemini 2.0 → GPT-5.2,Nat,perceived_reasonableness,0.21111111111111105,0.11987359483446994,0.30234862738775214,0.0005067290163195153,0.8280052326869128,30
Gemini 2.0 → GPT-5.2,Nat,seems_entitled,-0.04444444444444443,-0.08568563866173504,-0.003203250227153835,0.125,-0.3856396617542712,30
Gemini 2.0 → GPT-5.2,Deb,professionalism,0.044444444444444405,-0.007344431744292196,0.096233320633181,0.21875,0.30709761166350824,30
Gemini 2.0 → GPT-5.2,Deb,perceived_reasonableness,0.08888888888888881,0.019312734863065353,0.15846504291471225,0.03857421875,0.45717503104282603,30
Gemini 2.0 → GPT-5.2,Deb,seems_entitled,-0.06666666666666665,-0.1244269941228163,-0.008906339210517013,0.0703125,-0.4130232866245166,30
Gemini 2.0 → GPT-5.2,Blind,professionalism,0.011111111111111101,-0.010666666666666656,0.032888888888888856,1.0,0.18257418583505539,30
Gemini 2.0 → GPT-5.2,Blind,perceived_reasonableness,0.19999999999999998,0.09801339832068864,0.30198660167931135,0.0011203199093411582,0.7017498344771298,30
Gemini 2.0 → GPT-5.2,Blind,seems_entitled,-0.033333333333333326,-0.08135355044650788,0.014686883779841231,0.375,-0.2483991297480216,30
